Representative,Financials,Utilities,Consumer Discretionary,Real Estate,Industrials,Energy,Consumer Staples,Materials,Health Care,Communication Services,Technology
Susie Lee,0.1835458535074379,0.011999640307973644,0.30024632792199957,0.014517533619856351,0.11019318481971538,0.11947661007931264,0.07095374107393936,0.009276222949347733,0.031160717982648814,0.018331319131410267,0.1302988486063584
Ed Perlmutter,0.010177024010177008,0.0,0.16580395816580393,0.0,0.09183632009183627,0.05079520505079524,0.1529975481529976,0.042388063042388034,0.028766027028765923,0.18530625518530625,0.27192959927192983
John A. Yarmuth,0.21935101015719244,0.02247269417571597,0.1258929057479998,0.021686208259242588,0.11251093987065085,0.03522769809255082,0.16574056833955897,0.02716486217387351,0.13921225903348355,0.06554082230944658,0.06520003184028499
Tom Malinowski,0.0,0.0,0.024286445048016334,0.17104928661748534,0.09628512469927844,0.03917603911309275,0.3462432415636212,0.0,0.2685960119078019,0.0,0.05436385105070408
Michael K. Simpson,0.6449780976946811,0.010584432633317322,0.006532929145464233,0.0,0.09055165885073124,0.22066191818542824,0.00495695936591859,0.0019799451224585683,0.003755852158143982,0.0,0.015998206843856742
Marie Newman,0.10797844606099409,0.0009321762279159015,0.274778218840495,0.0,0.14196933680161575,0.0,0.016702040073982526,0.0,0.06147959228308961,0.13111725810209804,0.2650429316098091
Thomas R. Carper,0.33095490379097103,0.014207411821565,0.03489188077778932,0.017431055696296355,0.060737922209741724,0.027235452835501536,0.05006615924906723,0.11984114486698363,0.22479681302290241,0.038756868930469306,0.08108038679871246
Kevin Hern,0.07370007998622834,0.037512705685962926,0.06651029733337938,9.00462145693196e-05,0.18007926121413945,0.16224173179247292,0.04812474818385496,0.03552310411885236,0.13937187593104522,0.007740526057520729,0.24910562348197432
Michael Patrick Guest,0.272360552144224,0.014619622876335019,0.07984088257152422,0.0,0.013084236643855817,0.2565564921101825,0.011620381236566215,0.0,0.03826886041520715,0.2540376627614556,0.059611309240649675
Tommy Tuberville,0.24828135641066726,0.0,0.04268468360573224,0.0,0.00805245010710921,0.08662053157407051,0.06826674989584691,0.30564909915505983,0.008493221931451337,0.0012483528163551392,0.2307035545037076
Mark Dr Green,9.423760061260618e-06,0.08245652136083133,2.5917257144909937e-06,0.0,0.0014983813128870882,0.9160082764183444,3.4351867306324987e-06,0.0,7.261432719176391e-06,0.0,1.4108802711744164e-05
Kevin Yoder,0.0,0.0,0.0,0.0,0.145237006,0.854762994,0.0,0.0,0.0,0.0,0.0
Thad Cochran,0.24552706560522383,0.0006141625281311258,0.013793787521587312,0.034011144154148916,0.10102520104078425,0.1116336119067003,0.1532163582010628,0.016410125370332696,0.31860640608622304,0.0009902497476500264,0.004171887838155749
Thomas J. Rooney,0.23646536733479398,0.0023619206762372108,0.10512128121368727,0.06003413898376337,0.42961708288591505,0.0041164701570024385,0.006008986798556927,0.007290809378544033,0.04773472774492762,0.030803197155962837,0.07044601767060932
Bradley S. Schneider,0.00902841905076101,0.0,7.613415203595777e-05,0.0,0.025949011459591824,0.03242787125534063,0.022018887911115722,0.01210936562817071,0.2234855653958873,0.07585845651664197,0.599046288630455
Alan S. Lowenthal,0.11819141791962018,0.024056041200007393,0.1218859072464477,0.0,0.17031548577362005,0.0008405811351596742,0.024862457326890977,0.0051034029823027235,0.23434085086802636,0.13476788086685013,0.16563597468107474
Nick J. Rahall Ii,0.13733513653083096,0.0,0.6198077597333739,0.0,0.0,0.10252902627576226,0.0,0.14032807746003295,0.0,0.0,0.0
Pete Sessions,0.17973463118850846,0.004092560880437973,0.10457713328525019,0.004442985181954714,0.25197276557408826,0.03066820860146438,0.12882527937213173,0.06621191226209741,0.10104878105591622,0.08488587614143793,0.04353986645671275
Susan M. Collins,0.0024680695676864367,0.0031956973392492055,0.0035964939988877317,0.0002765674351832005,0.9656074882059865,0.0024195385834825684,0.003641425216152469,0.0011910817957243645,0.010770235402961825,0.0002818947308175817,0.006551507723867985
Raúl M. Grijalva,0.330502236364556,0.008700359562524034,0.08533339264976454,0.00877752348668819,0.08127014191314404,0.0064603478670453894,0.01074639592382867,0.004372359659659795,0.12294910496734685,0.02553070437480945,0.315357433230633
Nancy Pelosi,0.11542747634628242,0.0,0.15433815446301458,0.0,0.0,0.0,0.0,0.0,0.0,0.2216388066649163,0.5085955625257867
Bill Flores,0.12160850287600253,0.0,0.05821414587037895,0.0,0.06732174479184425,0.4471051404536734,0.044323767830223466,0.0014863082304285118,0.08556826037430616,0.0007452688738663393,0.17362686069927658
Gilbert Cisneros,0.15690177169985303,0.0,0.044541381338748284,0.014774033507224593,0.05757065975213037,0.0037070044397333607,0.06312181788130582,0.02576402399233256,0.0437708048723108,0.033210841910400433,0.5566376606059608
James R. Langevin,0.009943980535319249,0.0,0.8281175533555337,0.0,0.04527595557700613,0.0,0.00032662335910220956,0.0,0.0005393715821689791,0.04111104194022664,0.07468547365064311
Peter Meijer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Richard W. Allen,0.12652937551562507,0.0445769130860478,0.07563041942536677,0.0,0.14624829101322234,0.0,0.09752436701596293,0.09803329021481122,0.18536533238135472,0.05625681879240392,0.1698351925552053
Patrick Fallon,0.054551505507815665,0.0,0.0,0.0,0.34583149279538755,0.0983015600857785,0.0,0.0,0.07344479229812538,0.1849502820599812,0.24292036725291175
Cindy Axne,0.3784055900790903,0.0,0.19822414065279859,0.008854032565434612,0.029658854010579643,0.0,0.08959129258440372,0.02737160773875054,0.17719170863348663,0.04672154026799887,0.043981233467457165
Suzan K. Delbene,0.0,0.0,0.007732598337945603,0.0,6.202561182368085e-05,0.0035833048672993017,0.0,0.0,0.0,0.0,0.9886220711829314
David E. Price,0.13791768547267794,0.0038527335618259656,0.06334229026579107,0.031187099462784387,0.3228144018266062,0.0,0.10451688486370905,0.0032955200376606525,0.11135160669741354,0.04552452074156147,0.17619725706996991
